type,description,amount,date,priority
income,Part-Time Job,7200,2025-11-01,0
expense,Uber Rides,-380,2025-11-02,2
expense,Coffee Shops,-120,2025-11-03,3
expense,Rent,-8500,2025-11-04,1
expense,Spotify Subscription,-115,2025-11-05,3
expense,Gaming Subscription,-250,2025-11-06,2
income,Online Tutoring,1500,2025-11-07,0
expense,Gym Membership,-580,2025-11-08,1
expense,Groceries,-690,2025-11-09,1
expense,Internet Bill,-399,2025-11-10,2
expense,Movie Night,-220,2025-11-12,3
income,Scholarship Bonus,3000,2025-11-13,0
expense,Electric Bill,-640,2025-11-15,1
expense,Transport (Car Gas),-970,2025-11-16,1
expense,Restaurant Dinner,-430,2025-11-17,2
expense,Amazon Order,-520,2025-11-19,3
expense,Phone Bill,-350,2025-11-21,2
income,Freelance Design,2800,2025-11-23,0
expense,Groceries #2,-710,2025-11-25,1
expense,Weekend Trip,-1800,2025-11-28,3
